AIRLINE,total_scheduled_flights,total_cancelled_flights,cancellation_rate_pct
"American Eagle Airlines Inc",65459,6923,10.58
"JetBlue Airways",47549,2018,4.24
"Atlantic Southeast Airlines",109282,4526,4.14
"Skywest Airlines Inc",105695,3742,3.54
"US Airways Inc",73203,1862,2.54
"American Airlines Inc",96664,2249,2.33
"United Air Lines Inc",84313,1934,2.29
"Southwest Airlines Co",218098,4337,1.99
"Virgin America",10387,176,1.69
"Frontier Airlines Inc",15046,236,1.57
"Spirit Air Lines",19159,241,1.26
"Delta Air Lines Inc",140355,1256,0.89
"Alaska Airlines Inc",29212,158,0.54
"Hawaiian Airlines Inc",14060,42,0.30
